prof,awards,famous,height,dob,birthplace
"Actor,Producer,Director",no awards no nominations,"Jurassic World Dominion,Wonder Woman 1984,Where Hope Grows,A Work of Art",1.91 m,"February 18, 1977","Reno, Nevada, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"Poseidon,The Blob,The Doors,Platoon",(1.78 m,"August 19, 1965","Mamaroneck, New York, USA"
Actress,no awards no nominations,"EastEnders,Jeepers Creepers Reborn,Slotherhouse,The Phoebus Files",1.63 m,"July 25, 1994","Bexley, Kent, England, UK"
Actress,no awards no nominations,"Bluff City Law,Modern Love,Grey's Anatomy,I'm Dying Up Here",1.63 m,"January 9, 1988","Boston, Massachusetts, USA"
"Music Artist,Actress,Composer",no awards no nominations,"Elizabeth,Greenberg,Knocked Up,Love, Rosie",1.57 m,"May 2, 1985","Hammersmith, London, England, UK"
Actor,no awards no nominations,"The Blind Side,Hancock,Law & Order: Special Victims Unit,How I Met Your Mother",1.63 m,"December 27, 1996","Hamlin, Texas, USA"
"Actress,Costume and Wardrobe Department,Soundtrack",no awards no nominations,"Almost Famous,Bully,Hostel: Part II,Havoc",1.68 m,"April 1, 1980","Greenwich, Connecticut, USA"
"Actress,Director,Writer",no awards no nominations,"La cérémonie,À Nos Amours,Sans toit ni loi,Joueuse",(1.63 m,"May 31, 1967","Gannat, Allier, France"
"Actress,Producer,Director",no awards no nominations,"Hunters,Grey's Anatomy,The Strangely Normal,A Majestic Christmas",1.60 m,"September 28, 1981","Dallas, Texas, USA"
"Actress,Soundtrack",no awards no nominations,"Coronation Street,Where the Heart Is,Shameless,Trollied",(1.57 m,"June 5, 1976","Bradford, West Yorkshire, England, UK"
"Actress,Additional Crew",no awards no nominations,"Halloween,Halloween II,An American Crime,The Runaways",1.60 m,"February 21, 1989","Long Beach, California, USA"
"Actress,Writer",no awards no nominations,"The Dark Knight Rises,Barry,The Report,The Night House",(1.66 m,"May 31, 1985","Vancouver, British Columbia, Canada"
"Actress,Writer,Director",no awards no nominations,"Plachu s vami,Luchshe, Chem Lyudi,Metod,Attraction",1.75 m,"October 12, 1988","Leningrad, RSFSR, USSR [now St. Petersburg, Russia]"
"Actress,Composer,Sound Department",no awards no nominations,"The Woman King,Bruised,Doctor Strange in the Multiverse of Madness,Pinocchio", (1.82 m,January 1991,Uganda
"Writer,Producer,Director",no awards no nominations,"Independence Day,Godzilla,The Day After Tomorrow,Independence Day: Resurgence",(1.80 m,"November 10, 1955","Stuttgart, Baden-Württemberg, Germany"
"Actress,Producer,Director",no awards no nominations,"The Hunger Games,The Hunger Games: Mockingjay - Part 1,Artificial Intelligence: AI,Tombstone",(1.66 m,"June 1, 1970","Belfast, Northern Ireland, UK"
