prof,awards,famous,height,dob,birthplace
"Actor,Producer,Director",no awards no nominations,"The Apostle,Apocalypse Now,Tender Mercies,The Godfather",(1.74 m,"January 5, 1931","San Diego, California, USA"
"Actor,Producer,Writer",no awards no nominations,"Flying High,The Naked Gun 2½: The Smell of Fear,The Naked Gun: From the Files of Police Squad!,Wrongfully Accused",1.85 m,"February 11, 1926","Regina, Saskatchewan, Canada"
"Actor,Sound Department,Producer",no awards no nominations,"The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,Raiders of the Lost Ark",1.85 m,"May 5, 1944","Ammanford, Wales, UK"
"Actress,Soundtrack",no awards no nominations,"The Roommate,(500) Days of Summer,Just Go with It,The Butler",1.65 m,"June 24, 1980","Los Angeles, California, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"The Big Bang Theory,The Normal Heart,Home,Hidden Figures",(1.86 m,"March 24, 1973","Houston, Texas, USA"
"Actor,Writer,Producer",no awards no nominations,"Stand by Me,The Secret of NIMH,Toy Soldiers,Star Trek: The Next Generation",(1.77 m,"July 29, 1972","Burbank, California, USA"
"Actress,Producer",no awards no nominations,"Meet Joe Black,Mystery Men,In the Name of the King: A Dungeon Siege Tale,Mallrats",(1.66 m,"December 17, 1971","Twickenham, Middlesex, England, UK"
"Actress,Producer",no awards no nominations,"In the Heart of the Sea,Edge of Tomorrow,Entity,London Has Fallen",1.65 m,"December 29, 1981","England, UK"
"Actress,Producer,Director",no awards no nominations,"Not Another Teen Movie,Brake,Supergirl,That '80s Show",(1.69 m,"April 10, 1982","Charlotte, North Carolina, USA"
"Actress,Producer,Writer",no awards no nominations,"Jurassic Park,Wild,Marriage Story,Blue Velvet", (1.79 m,"February 10, 1967","Saint John's Health Center, Santa Monica, Los Angeles County, California, USA"
"Actress,Music Department,Composer",no awards no nominations,"Fear Street: Part One - 1994,Do Revenge,Stranger Things,Little Women",(1.74 m,"July 8, 1998","New York City, New York, USA"
"Actress,Producer,Director",no awards no nominations,"Angel,The Cabin in the Woods,Person of Interest,Alias",1.73 m,"December 5, 1976","Dallas, Texas, USA"
"Producer,Writer,Director",no awards no nominations,"Knives Out,Looper,Glass Onion: A Knives Out Mystery,Star Wars: The Last Jedi",(1.66 m,"December 17, 1973","Silver Spring, Maryland, USA"
"Actor,Producer,Director",no awards no nominations,"Gosford Park,Crash,Cruel Intentions,54",1.73 m,"September 10, 1974","New Castle, Delaware, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Truth or Dare,Scream 4,Fantasy Island,Pretty Little Liars",1.57 m,"June 14, 1989","Memphis, Tennessee, USA"
"Actor,Producer,Music Department",no awards no nominations,"Don 2,My Name Is Khan,Devdas,Jab Tak Hai Jaan",(1.69 m,"November 2, 1965","New Delhi, India"
"Actress,Producer,Soundtrack",no awards no nominations,"Gilmore Girls,Sin City,The Sisterhood of the Traveling Pants,Tuck Everlasting",1.70 m,"September 16, 1981","Houston, Texas, USA"
Actress,no awards no nominations,"Knocked Up,The Other Woman,This Is 40,The 40 Year Old Virgin",(1.69 m,"March 26, 1972","San Francisco, California, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"Turandot,After We Collided,Banana Split,Tyger Tyger",(1.78 m,"August 4, 1992","Arezzo, Tuscany, Italy"
"Actor,Soundtrack",no awards no nominations,"The Age of Adaline,Harley and the Davidsons,Game of Thrones,Treme",(1.85 m,"July 18, 1981","Amstelveen, Noord-Holland, Netherlands"
"Actor,Producer,Director",no awards no nominations,"The Shield,Blade,I Heard the Mermaids Singing,Check Point",1.85 m,"July 13, 1963","New Haven, Connecticut, USA"
