prof,awards,famous,height,dob,birthplace
"Actress,Producer,Writer",no awards no nominations,"The Three Musketeers,Myra Breckinridge,Hannie Caulder,Fathom",1.68 m,"September 5, 1940","Chicago, Illinois, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"The Mandalorian,Kingsman: The Golden Circle,Game of Thrones,Wonder Woman 1984", (1.79 m,"April 2, 1975","Santiago de Chile, Metropolitan Region, Chile"
"Actress,Soundtrack,Writer",no awards no nominations,"Game of Thrones,The Last of Us,Catherine Called Birdy,Hilda",(1.56 m,"September 30, 2003","Nottinghamshire, England, UK"
"Actress,Soundtrack",no awards no nominations,"Togetherness,Heavenly Creatures,Up in the Air,The Intervention",1.70 m,"May 16, 1977","New Plymouth, New Zealand"
"Actress,Music Department",no awards no nominations,"The Flash,Supergirl,On Swift Horses,The Young and the Restless",1.70 m,"August 7, 1995","Boston, Massachusetts, USA"
Actress,no awards no nominations,"The Last of Us,24,Revolution,Runaways",1.70 m,"March 28, 1977","St. Louis, Missouri, USA"
"Actress,Writer,Soundtrack",no awards no nominations,"Call the Midwife,Dreamfall Chapters,Repeat,You",1.70 m,"August 29, 1989","Westminster, London, England, UK"
"Actress,Producer,Soundtrack",no awards no nominations,"Scream,X,The Fallout,Wednesday",1.55 m,"September 27, 2002","Coachella Valley, California, USA"
"Actress,Producer,Writer",no awards no nominations,"Orange Is the New Black,American Pie,Slums of Beverly Hills,Detroit Rock City",1.60 m,"April 4, 1979","New York City, New York, USA"
"Actress,Soundtrack",no awards no nominations,"Fringe,Heavenly Sword,Heavenly Sword,Mindhunter",(1.72 m,"June 7, 1979","Melbourne, Victoria, Australia"
"Actor,Producer,Writer",no awards no nominations,"That '70s Show,Just Married,A Lot Like Love,Killers",(1.89 m,"February 7, 1978","Cedar Rapids, Iowa, USA"
"Actress,Soundtrack",no awards no nominations,"Ant-Man and the Wasp: Quantumania,Big Little Lies,Pokémon: Detective Pikachu,Freaky",1.65 m,February 8,"Orlando, Florida, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"Lovecraft Country,The Last Black Man in San Francisco,White Boy Rick,When We Rise",3 m,"September 7, 1989","Lompoc, California, USA"
"Actress,Producer,Writer",no awards no nominations,"GLOW,Community,Promising Young Woman,The Lego Movie",1.63 m,"December 29, 1982","Hollywood, Los Angeles, California, USA"
"Actor,Producer,Writer",no awards no nominations,"Die Hard,Pulp Fiction,Moonlighting,The Sixth Sense",3 m,"March 19, 1955","Idar-Oberstein, West Germany"
"Actor,Producer,Director",no awards no nominations,"The Last of Us,The Last of Us: Part II,Call of Duty: WWII,Bosch",3 m,"December 13, 1971","Denver, Colorado, USA"
"Actress,Producer,Writer",no awards no nominations,"Pearl,X,Suspiria,A Cure for Wellness",(1.77 m,"October 25, 1993","Southwark, London, England, UK"
"Producer,Actress,Executive",no awards no nominations,"Wild,Legally Blonde,Walk the Line,Election",(1.57 m,"March 22, 1976","New Orleans, Louisiana, USA"
"Actress,Soundtrack",no awards no nominations,"Ant-Man,Ant-Man and the Wasp,The Hobbit: The Desolation of Smaug,The Hobbit: The Battle of the Five Armies",1.65 m,"August 3, 1979","Fort Saskatchewan, Alberta, Canada"
"Actress,Producer,Soundtrack",no awards no nominations,"Baywatch,Texas Chainsaw 3D,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson: Sea of Monsters",1.73 m,"March 16, 1986","New York City, New York, USA"
"Actress,Writer,Producer",no awards no nominations,"Love Life,Downhill,Strangers,Where'd You Go, Bernadette",1.73 m,"September 19, 1985","Providence, Rhode Island, USA"
"Actor,Cinematographer,Editor",no awards no nominations,"Treasure Planet,NYPD Blue,An Accidental Christmas,Superman II: The Richard Donner Cut",1.73 m,"November 23, 1995","Kern County, California, USA"
"Actor,Producer,Director",no awards no nominations,"You,Gossip Girl,Easy A,Margin Call",(1.74 m,"November 1, 1986","Baltimore, Maryland, USA"
Actor,no awards no nominations,"The Offer,Vice,Midway,Westworld",1.88 m,"November 1, 1986","Baltimore, Maryland, USA"
"Actor,Producer,Executive",no awards no nominations,"Downton Abbey,Outlander,Wolf Hall,Alice Through the Looking Glass",(1.78 m,"April 7, 1988","Chichester, England, UK"
"Actor,Producer,Director",no awards no nominations,"The Cabin in the Woods,Grey's Anatomy,The Sisterhood of the Traveling Pants 2,Brooklyn's Finest",(1.84 m,"August 5, 1981","Chicago, Illinois, USA"
Actress,no awards no nominations,"1923,The Politician,The Sky Is Everywhere,Charlie Says",,,
"Actress,Music Department,Soundtrack",no awards no nominations,"Scrubs,The Drew Carey Show,Cougar Town,The Andromeda Strain",(1.74 m,"May 28, 1964","New York City, New York, USA"
"Actor,Director",no awards no nominations,"The Hate U Give,The Last of Us,Your Honor,Brother",1.73 m,"July 18, 1994","Toronto, Canada"
"Actress,Producer,Soundtrack",no awards no nominations,"The Avengers,Blindspot,The Last of Us,Fast Food Nation",1.65 m,"August 9, 1983","Camarillo, California, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"The White Lotus,August,Noor,Farscape",1.65 m,"March 20, 1971","Sydney, New South Wales, Australia"
"Actor,Producer,Director",no awards no nominations,"The Legend of Tarzan,Big Little Lies,True Blood,The Little Drummer Girl",(1.94 m,"August 25, 1976","Stockholm, Stockholms län, Sweden"
"Actor,Writer,Soundtrack",no awards no nominations,"Euphoria,The White Lotus,American Vandal,Assassination Nation",(1.78 m,"May 28, 1995","San Diego, California, USA"
