prof,awards,famous,height,dob,birthplace
"Actor,Producer,Soundtrack",no awards no nominations,"Luis Miguel - The Series,Terminator: Dark Fate,Rock of Ages,Scream Queens",(1.80 m,"November 29, 1990","Mexico City, Distrito Federal, Mexico"
"Actress,Producer",no awards no nominations,"Black Bird,The Killing of Two Lovers,The L Word: Generation Q,The Deuce",(1.66 m,September 18,"Regensburg, Bavaria, West Germany"
"Actor,Producer,Soundtrack",no awards no nominations,"Warrior,Affliction,The Prince of Tides,The Thin Red Line",1.85 m,"February 8, 1941","Omaha, Nebraska, USA"
"Actor,Additional Crew,Soundtrack",no awards no nominations,"The Fabelmans,Independence Day,Taxi,A Beautiful Mind", (1.79 m,"March 15, 1935","The Bronx, New York City, New York, USA"
"Actress,Producer,Director",no awards no nominations,"Criminal Minds,Invincible,That Awkward Moment,Blow",1.73 m,"November 24, 1971","New York City, New York, USA"
"Actor,Producer",no awards no nominations,"Lucky Man,A Royal Christmas,Clavius",1.88 m,"January 25, 1985","Belfast, Co. Antrim, Northern Ireland, UK"
"Actor,Soundtrack",no awards no nominations,"Guillermo del Toro's Pinocchio,The Dark Knight Rises,Pacific Rim: Uprising,The Expanse",1.75 m,"September 1, 1974","Hollywood, Los Angeles, California, USA"
"Actor,Camera and Electrical Department,Soundtrack",no awards no nominations,"Star Trek,Green Room,Like Crazy,Hearts in Atlantis",1.75 m,"March 11, 1989","Leningrad, Russian SFSR, USSR [now St. Petersburg, Russia]"
"Music Artist,Actress,Music Department",no awards no nominations,"Grease,Xanadu,Second Chance,Face/Off",1.68 m,"September 26, 1948","Cambridge, Cambridgeshire, England, UK"
"Actress,Additional Crew",no awards no nominations,"Wedding Crashers,The Texas Chainsaw Massacre: The Beginning,My Best Friend's Girl,Stan Helsing",1.70 m,"April 6, 1983","Miami, Florida, USA"
"Actress,Producer",no awards no nominations,"The Last House on the Left,Patch Adams,Saw,Along Came a Spider",1.70 m,"June 30, 1971","Cleveland, Ohio, USA"
"Actress,Producer,Executive",no awards no nominations,"Ten Inch Hero,Fired Up!,Harold & Kumar Escape from Guantanamo Bay,The Back-up Plan",1.70 m,"March 18, 1979","Lafayette, Louisiana, USA"
"Actor,Producer,Composer",no awards no nominations,"E.T. The Extra-Terrestrial,11:14,Legends of the Fall,Gangs of New York",(1.80 m,"September 9, 1971","San Antonio, Texas, USA"
"Actress,Director,Soundtrack",no awards no nominations,"Wicker Park,Hot Tub Time Machine,Brooklyn,Lost and Delirious",1.73 m,"December 5, 1980","Montréal, Québec, Canada"
Actor,no awards no nominations,"The Family,Cold Pursuit,Find Me Guilty,For Love of the Game",(1.78 m,"March 25, 1976","Bronx, New York, USA"
"Actor,Soundtrack",no awards no nominations,"Under the Banner of Heaven,Peacemaker,Hell on Wheels,Togo",1.91 m,"September 18, 1963","British Columbia, Canada"
"Actor,Soundtrack",no awards no nominations,"Pitch Perfect,21 & Over,Wreck-It Ralph,Pitch Perfect 2",1.75 m,"September 23, 1987","New York City, New York, USA"
"Actor,Writer,Producer",no awards no nominations,"Taqdeerwala,Naseeb,Angaar,Baap Numbri Beta Dus Numbri",1.73 m,"December 11, 1937","Kabul, Afghanistan"
Actress,no awards no nominations,"Bugs,Doctor Who,A Touch of Frost,Silent Witness",,,
"Actor,Soundtrack",no awards no nominations,"House,Scary Movie 2,But I'm a Cheerleader,Jingle All the Way",(2.03 m,"January 13, 1943","Pasadena, California, USA"
"Actor,Executive,Soundtrack",no awards no nominations,"Black Sails,Game of Thrones,Northman - A Viking Saga,Merlin",1.96 m,"January 28, 1985","Coalville, Leicestershire, England, UK"
"Actress,Soundtrack",no awards no nominations,"Matilda,Children of Men,Harry Potter and the Prisoner of Azkaban,Death to Smoochy",1.70 m,"May 11, 1948","Hannover, Lower Saxony, Germany"
"Actor,Producer,Executive",no awards no nominations,"According to Jim,Stand Up to Cancer",1.85 m,"July 27, 1970","Aliquippa, Pennsylvania, USA"
"Actress,Producer,Writer",no awards no nominations,"The Good Place,Barry,Broad City,Other People",(1.78 m,"January 4, 1980","Danville, California, USA"
"Actor,Producer,Writer",no awards no nominations,"Star Trek,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: On Stranger Tides", (1.82 m,"March 21, 1968","Wigan, Lancashire, England, UK"
"Actor,Producer,Soundtrack",no awards no nominations,"Who's Afraid of Virginia Woolf?,2012,Look Who's Talking,A Touch of Class", (1.79 m,"February 13, 1934","Great Neck, Long Island, New York, USA"
"Actor,Soundtrack",no awards no nominations,"The Dark Knight,The Bounty Hunter,Let Me In,हैकर (Malicious Hacker)",1.85 m,"July 1, 1967","London, England, UK"
"Actor,Producer,Writer",no awards no nominations,"How I Met Your Mother,A Series of Unfortunate Events,Gone Girl,Starship Troopers",3 m,"June 15, 1973","Albuquerque, New Mexico, USA"
Actress,no awards no nominations,"Transporter 3,Blindspot,Coffee Cafe,A Novel Romance",1.75 m,"February 14, 1985","Leningrad, Russian SFSR, USSR [now St. Petersburg, Russia]"
"Actress,Producer,Soundtrack",no awards no nominations,"The Final Girls,6 Years,The Bling Ring,Anna",1.65 m,"August 17, 1994","Readington, New Jersey, USA"
"Actor,Writer,Producer",no awards no nominations,"MacGruber,Nebraska,The Last Man on Earth,The Lego Movie",1.75 m,"June 17, 1970","Alameda County, California, USA"
"Actor,Director,Writer",no awards no nominations,"Tinker Tailor Soldier Spy,The Manchurian Candidate,The Last King of Scotland,The Conjuring 2",(1.69 m,"August 25, 1957","Cambridge, Cambridgeshire, England, UK"
"Actress,Writer,Soundtrack",no awards no nominations,"The Lion in Winter,The Philadelphia Story,The African Queen,On Golden Pond",(1.72 m,"May 12, 1907","Hartford, Connecticut, USA"
"Actor,Soundtrack",no awards no nominations,"The Imitation Game,Quantum of Solace,Penny Dreadful,Skyfall",3 m,"February 17, 1976","Hatfield, Hertfordshire, England, UK"
"Actor,Producer,Writer",no awards no nominations,"Into the Woods,No Time to Die,Game Night,The Big Short", (1.79 m,"April 20, 1985","Woodhaven, Queens, New York, USA"
Actress,no awards no nominations,"Clash of the Titans,The Haunting,The King's Speech,Limelight",1.60 m,"February 15, 1931","Finchley, London, England, UK"
"Actress,Producer,Camera and Electrical Department",no awards no nominations,"Bolero,Ghosts Can't Do It,Tommy Boy,Tarzan the Ape Man",(1.62 m,"November 20, 1956","Long Beach, California, USA"
"Actress,Director",no awards no nominations,"Carnival Row,Once Upon a Time,Nekrotronic",(1.72 m,"November 20, 1956","Long Beach, California, USA"
"Actress,Producer",no awards no nominations,"Diablo Guardián,El Presidente,Las niñas bien,Narcos",(1.72 m,"February 19, 1992","Mexico City, Distrito Federal, Mexico"
"Actress,Producer,Soundtrack",no awards no nominations,"Being Erica,The Good Samaritan,Wyvern,Godiva's",1.63 m,"October 17, 1978","Jasper, Alberta, Canada"
"Actress,Director,Producer",no awards no nominations,"Love Actually,Eragon,Resident Evil: Apocalypse,Resident Evil: Retribution",1.68 m,"March 16, 1975","Kettering, Northamptonshire, England, UK"
"Actress,Composer,Music Department",no awards no nominations,"Purple Hearts,Descendants,Descendants: Wicked World,Descendants 2",1.63 m,"April 10, 1993","Fort Lauderdale, Florida, USA"
"Actress,Director,Producer",no awards no nominations,"Borderlands,The Morning Show,Star Wars: Battlefront II,The Way Back",1.70 m,"November 29, 1980","Joliet, Illinois, USA"
"Actress,Director,Writer",no awards no nominations,"Fear the Walking Dead,The Rookie,Californication,NCIS: Los Angeles",1.75 m,March 3,"Linköping, Sweden"
"Actress,Producer,Soundtrack",no awards no nominations,"Pitch Perfect,Project X,Pitch Perfect 2,Pitch Perfect 3",1.73 m,"July 31, 1989","Allegheny, Pennsylvania, USA"
"Writer,Producer,Actor",no awards no nominations,"The Office,The Invention of Lying,Extras,Ghost Town",(1.71 m,"June 25, 1961","Reading, Berkshire, England, UK"
"Actor,Writer,Soundtrack",no awards no nominations,"Silicon Valley,The Last of Us,Mythic Quest: Raven's Banquet,The Internship",(1.66 m,October 1,"Houston, Texas, USA"
"Actor,Producer,Writer",no awards no nominations,"Juan Mnemonico,Feast,He Never Died,Lost Highway",1.75 m,"February 13, 1961","Washington, District of Columbia, USA"
"Actress,Writer,Director",no awards no nominations,"The Wilds,Uncharted,Grey's Anatomy,Truth or Dare",1.73 m,"November 7, 1995","San Diego, California, USA"
"Actress,Director,Writer",no awards no nominations,"He's Just Not That Into You,Made of Honor,White Chicks,Cougar Town",1.68 m,"June 25, 1979","Oak Park, Illinois, USA"
"Producer,Writer,Director",no awards no nominations,"The Ballad of Buster Scruggs,The Tragedy of Macbeth,Inside Llewyn Davis,Barton Fink",3 m,"November 29, 1954","Minneapolis, Minnesota, USA"
"Producer,Executive",no awards no nominations,"Life Is Strange,Horizon Zero Dawn,Attack on Titan,Hey Ash, Whatcha Playin'?",3 m,"June 19, 1990","Phoenix, Arizona, USA"
"Actor,Producer",no awards no nominations,"The Thin Red Line,The Prophecy,Shooter,Teenage Mutant Ninja Turtles",(1.78 m,"March 11, 1961","Montréal, Québec, Canada"
"Actress,Producer,Soundtrack",no awards no nominations,"Orange Is the New Black,Hustle & Flow,Crossroads,8 Mile",1.60 m,November 6,"Falls Church, Virginia, USA"
"Actress,Soundtrack",no awards no nominations,"Remember Me,The Hills Have Eyes,Lost,Brick",1.57 m,"December 27, 1981","Mount Eliza, Victoria, Australia"
"Actor,Producer,Additional Crew",no awards no nominations,"Spotlight,X-Men Origins: Wolverine,The Manchurian Candidate,Everything Is Illuminated",1.91 m,"October 4, 1967","San Francisco, California, USA"
"Writer,Director,Producer",no awards no nominations,"Dancer in the Dark,Melancholia,Antichrist,Dogville",1.70 m,"April 30, 1956","Copenhagen, Denmark"
"Actress,Director,Soundtrack",no awards no nominations,"Field of Dreams,Now and Then,Everyone Says I Love You,Uncle Buck",1.70 m,"January 8, 1982","New York City, New York, USA"
"Actor,Director,Producer",no awards no nominations,"Letterkenny,Recon,It Was Always You,UnREAL",(1.77 m,"May 6, 1986","Toronto, Ontario, Canada"
"Producer,Director,Writer",no awards no nominations,"Biutiful,The Revenant,Birdman or (The Unexpected Virtue of Ignorance),Amores perros",(1.78 m,"August 15, 1963","Mexico City, Distrito Federal, Mexico"
"Actor,Producer,Soundtrack",no awards no nominations,"Minari,Okja,Mayhem,Nope",(1.72 m,"December 21, 1983","Seoul, South Korea"
"Actor,Writer,Additional Crew",no awards no nominations,"Asura's Wrath,Fainaru fantajî sebun adobento chirudoren,Man cheng jin dai huang jin jia,Critical Role",(1.80 m,"May 28, 1976","Belleville, New Jersey, USA"
"Actress,Soundtrack",no awards no nominations,"Monk,Dirty Work,Me, Myself & Irene,Son of the Mask",1.65 m,"June 14, 1966","Orlando, Florida, USA"
"Actress,Music Department,Producer",no awards no nominations,"Insatiable,Sing It!,Jessie,Rip Tide",1.65 m,"May 13, 1993","Huntsville, Alabama, USA"
"Actress,Producer,Additional Crew",no awards no nominations,"Logan's Run,The Helper,The Cannonball Run,Charlie's Angels",1.68 m,"February 2, 1947","Corpus Christi, Texas, USA"
Actor,no awards no nominations,"Little Fires Everywhere,Old Henry,Prince of Peoria,Shrinking",(1.78 m,October 27,"Utah, USA"
"Actor,Producer,Soundtrack",no awards no nominations,"Blade: Trinity,Killer Elite,Bailout: The Age of Greed,Equilibrium",1.88 m,"February 17, 1970","Wallasey, Merseyside, England, UK"
"Actor,Producer,Writer",no awards no nominations,"Prison Break,The Human Stain,Stoker,Underworld",1.85 m,"June 2, 1972","Chipping Norton, Oxfordshire, England, UK"
"Actress,Producer",no awards no nominations,"Mayor of Kingstown,Lethal Weapon,Call of Duty: Modern Warfare,The Originals",1.65 m,"September 1, 1987","Riverside, California, USA"
,no awards no nominations,"E! Live from the Red Carpet,Die Johannes B. Kerner Show,Primetime Live",,,
"Actress,Composer,Producer",no awards no nominations,"American Housewife,Z-O-M-B-I-E-S 2,Z-O-M-B-I-E-S,The Broken Ones",1.60 m,"July 25, 2000","New York City, New York, USA"
"Stunts,Producer,Actor",no awards no nominations,"The Matrix Resurrections,John Wick,The Matrix Reloaded,Captain America: Civil War",1.85 m,"September 20, 1968",USA
"Actress,Soundtrack",no awards no nominations,"Tusk,The King,Yoga Hosers,La danseuse",1.65 m,"May 27, 1999","Neuilly-sur-Seine, Hauts-de-Seine, France"
Actor,no awards no nominations,"Chilling Adventures of Sabrina,The Dry,Vikings: Valhalla",(1.84 m,"April 24, 1996",https://www.popbuzz.com/tv-film/features/sam-corlett/age/
"Actress,Producer,Additional Crew",no awards no nominations,"Friends,The Seduction,eCupid,Falcon Crest",1.63 m,"February 3, 1950","Dallas, Texas, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"Love Story,The Getaway,Goodbye, Columbus,Convoy",(1.77 m,"April 1, 1939","Pound Ridge, New York, USA"
Actress,no awards no nominations,"Land of the Lost,Chicago Fire,The Kelly Clarkson Show,Today",(1.77 m,"April 1, 1939","Pound Ridge, New York, USA"
"Actor,Producer,Director",no awards no nominations,"Man of Steel,Harold & Kumar Go to White Castle,Wet Hot American Summer,Snatched",(1.84 m,"April 2, 1961","Washington, District of Columbia, USA"
"Actress,Writer",no awards no nominations,"Parallel Mothers,Libélulas,No matarás,Tin & Tina",(1.84 m,"October 5, 1996","Elx, Alacant, Comunitat Valenciana, Spain"
"Actor,Producer,Director",no awards no nominations,"The Hobbit: An Unexpected Journey,Rambo 4,The Hobbit: The Desolation of Smaug,The Hobbit: The Battle of the Five Armies",1.88 m,"January 4, 1961","Glasgow, Scotland, UK"
"Actor,Director,Soundtrack",no awards no nominations,"Twin Peaks,Dune,Portlandia,Blue Velvet",3 m,"February 22, 1959","Yakima, Washington, USA"
"Writer,Director,Producer",no awards no nominations,"White Noise,Marriage Story,The Squid and the Whale,Frances Ha",1.75 m,"September 3, 1969","Brooklyn, New York City, New York, USA"
"Actor,Producer,Writer",no awards no nominations,"The Resident,The Good Wife,Gilmore Girls,Gilmore Girls: A Year in the Life",(1.77 m,"May 20, 1977","Manchester, New Hampshire, USA"
"Actress,Producer,Executive",no awards no nominations,"Terminator 3: Rise of the Machines,BloodRayne,In the Name of the King: A Dungeon Siege Tale,Lime Salted Love", (1.82 m,"October 8, 1979","Ghent, New York, USA"
"Actress,Producer,Writer",no awards no nominations,"Star Trek II: The Wrath of Khan,Drop Dead Gorgeous,Look Who's Talking,Village of the Damned",1.70 m,"January 12, 1951","Wichita, Kansas, USA"
"Actress,Soundtrack",no awards no nominations,"Whatever Works,Friends,Dan in Real Life,Stay",1.73 m,"June 28, 1965","Princeton, New Jersey, USA"
"Actress,Producer,Soundtrack",no awards no nominations,"The Girl Can't Help It,Will Success Spoil Rock Hunter?,Gli amori di Ercole,Einer frisst den anderen",(1.68 m,"April 19, 1933","Bryn Mawr, Pennsylvania, USA"
Actress,no awards no nominations,"For All Mankind,Damnation,The Path,Alcatraz",1.60 m,July 17,"Winter Springs, Florida, USA"
"Actor,Producer,Director",no awards no nominations,"The Wire,Selma,Horrible Bosses,The Money Pit",1.73 m,"December 8, 1963","New Orleans, Louisiana, USA"
"Actress,Producer,Writer",no awards no nominations,"Deep Impact,In Plain Sight,K-PAX,1408",1.73 m,"February 8, 1969","Plainfield, New Jersey, USA"
"Actress,Music Department,Soundtrack",no awards no nominations,"Grabbers,Flyboys,Pursuit,Primeval",1.68 m,"January 24, 1987","Dublin, Ireland"
"Actress,Producer,Soundtrack",no awards no nominations,"Deadpool,Deadpool 2,Tragedy Girls,The Exorcist",1.60 m,"August 14, 1996","College Station, Texas, USA"
"Actor,Producer,Composer",no awards no nominations,"New Jack City,Surviving the Game,Tank Girl,Juan Mnemonico",(1.80 m,"February 16, 1958","Newark, New Jersey, USA"
"Actor,Producer,Writer",no awards no nominations,"Platoon,Inception,The Big Chill,Major League",(1.80 m,"May 31, 1949","Chicago, Illinois, USA"
"Actress,Soundtrack",no awards no nominations,"Dolly Parton's Coat of Many Colors,Blended,Dolly Parton's Christmas of Many Colors: Circle of Love,Overboard",2 m,July 27,"Los Angeles, California, USA"
"Actress,Soundtrack",no awards no nominations,"Maternal,Sherlock,The Split,The Alienist",1.60 m,"September 1, 1980","Southend-on-Sea, Essex, England, UK"
